hsk,word
5,裔
5,捐
5,歪
5,幅
5,损
5,嘱
5,捡
5,炒
5,幕
5,腐
5,裹
5,殊
5,残
5,漏
5,籍
5,漠
5,腰
5,幻
5,幼
5,器
5,朝
5,庆
5,贝
5,膀
5,木
5,贡
5,财
5,未
5,膊
5,账
5,库
5,庙
5,类
5,朴
5,府
5,废
5,贴
5,贷
5,贸
5,嚏
5,杀
5,权
5,劣
5,蔬
5,粒
5,驶
5,嫁
5,粘
5,璃
5,驾
5,赏
5,劲
5,劳
5,砍
5,骂
5,赔
5,势
5,赞
5,炭
5,炮
5,嫩
5,炸
6,赴
6,阐
6,阔
6,砸
6,烁
6,枉
6,殴
6,蕴
6,掠
6,探
6,殿
6,掩
6,烘
6,枚
6,枝
6,毁
6,毅
6,勾
6,勿
6,掰
6,掷
6,陈
6,膨
6,揉
6,陋
6,烹
6,揍
6,庸
6,粥
6,廉
6,陡
6,廊
6,臂
6,碌
6,嚼
6,廓
6,揭
6,粹
6,碑
6,陵
6,陶
6,陷
6,援
6,隆
6,臣
6,隐
6,隘
6,隙
6,障
6,枯
6,覆
6,瓣
6,瓦
6,趴
6,濒
6,瓷
6,怠
6,薪
6,怨
6,怯
6,跌
6,柬
6,跨
6,恍
6,跪
6,柱
6,碧
6,恒
6,恕
6,丐
6,匪
6,丘
6,碳
6,丛
6,恩
6,孔
6,恭
6,孕
6,丧
6,隧
6,磅
6,恰
6,氏
6,焦
6,磋
6,氓
6,串
6,丸
6,黎
6,隶
6,磕
6,搀
6,焰
6,搁
6,搂
6,卑
6,搅
6,卓
6,氢
6,搏
6,氧
6,雅
6,磨
6,搓
6,乌
6,雌
6,异
6,搜
6,煌
6,宅
6,悟
6,雕
6,弊
6,舆
6,乞
6,宏
6,卸
6,搭
6,舔
6,携
6,舟
6,弥
6,弦
6,乳
6,觅
6,紊
6,雹
6,摊
6,予
6,舰
6,舱
6,圣
6,舶
6,熄
6,索
6,汰
6,熏
6,井
6,汹
6,艇
6,甘
6,摧
6,归
6,沃
6,艘
6,沐
6,甭
6,坑
6,沛
6,栋
6,彰
6,坛
6,栏
6,坝
6,坟
6,役
6,踊
6,踌
6,坡
6,踏
6,撑
6,撒
6,畅
6,患
6,悦
6,魂
6,魄
6,誓
6,畏
6,径
6,悬
6,徊
6,畔
6,株
6,畜
6,魔
6,徒
6,审
6,悼
6,徘
6,徙
6,踪
6,芒
6,垂
6,垄
6,宪
6,宫
6,番
6,栽
6,宰
6,惋
6,宵
6,畴
6,框
6,惑
6,惕
6,厦
6,蹈
6,蹋
6,桑
6,疆
6,惦
6,惧
6,惨
6,惩
6,疏
6,亡
6,惫
6,亦
6,惮
6,惰
6,桨
6,亭
6,疙
6,熨
6,惹
6,虏
6,蹦
6,熬
6,虐
6,蹬
6,霍
6,仁
6,叛
6,沧
6,仇
6,寸
6,梁
6,沫
6,叠
6,沮
6,霜
6,叨
6,霞
6,虫
6,躁
6,躇
6,仓
6,叭
6,叮
6,沸
6,仗
6,仙
6,沼
6,撤
6,沾
6,沿
6,叹
6,泄
6,叼
6,蚀
6,霸
6,泊
6,仪
6,泌
6,御
6,仰
6,祥
6,循
6,芦
6,擅
6,泡
6,波
6,擎
6,泥
6,祸
6,泰
6,垫
6,芽
6,齿
6,忌
6,泻
6,泽
6,倘
6,苍
6,苏
6,疤
6,倦
6,疫
6,忠
6,埋
6,苟
6,忧
6,若
6,债
6,倾
6,症
6,偏
6,梢
6,痕
6,愈
6,械
6,躬
6,痪
6,愚
6,痹
6,愣
6,棍
6,棕
6,吁
6,吉
6,稀
6,吊
6,尬
6,慈
6,吝
6,吞
6,尴
6,吟
6,尸
6,稚
6,伍
6,爆
6,伏
6,吩
6,稠
6,伐
6,屁
6,屏
6,慨
6,禽
6,蛮
6,洁
6,屑
6,吼
6,鞠
6,伦
6,秃
6,伪
6,稻
6,稿
6,伯
6,慷
6,呈
6,逊
6,屡
6,履
6,伶
6,攀
6,伺
6,呕
6,逝
6,爽
6,津
6,憋
6,秤
6,洪
6,逢
6,攒
6,屿
6,逮
6,岂
6,茂
6,洽
6,呵
6,逼
6,茎
6,呻
6,穴
6,岔
6,岗
6,韧
6,堂
6,浊
6,牢
6,咀
6,牧
6,浑
6,攻
6,咋
6,遏
6,窃
6,佳
6,牲
6,堕
6,咙
6,储
6,茫
6,牺
6,侈
6,堡
6,遣
6,堤
6,遥
6,窜
6,窝
6,浮
6,堪
6,遭
6,遮
6,浴
6,敞
6,浸
6,涉
6,荒
6,瘤
6,譬
6,涌
6,瘩
6,敷
6,瘫
6,塌
6,涕
6,荡
6,涛
6,荧
6,瘸
6,塘
6,椎
6,瘾
6,塞
6,斑
6,僵
6,癌
6,斟
6,僻
6,椭
6,岩
6,墅
6,岳
6,墓
6,墟
6,皆
6,鲁
6,侠
6,侣
6,咽
6,侦
6,侧
6,侨
6,哀
6,侮
6,哄
6,哆
6,哇
6,轨
6,犬
6,峡
6,哎
6,钉
6,哑
6,峭
6,轰
6,峰
6,竖
6,哟
6,峻
6,涮
6,哦
6,狈
6,哨
6,钞
6,俐
6,辉
6,涵
6,俘
6,斥
6,竭
6,端
6,斩
6,辐
6,榜
6,淀
6,辖
6,辙
6,讥
6,哺
6,斯
6,哼
6,淆
6,辜
6,郁
6,辟
6,狠
6,淋
6,俭
6,俯
6,讳
6,郎
6,狭
6,讶
6,淘
6,郑
6,讼
6,狱
6,莫
6,旋
6,诈
6,旗
6,墨
6,纠
6,纤
6,混
6,淹
6,纬
6,添
6,诞
6,旨
6,菌
6,纳
6,纵
6,诧
6,纹
6,纺
6,诫
6,诬
6,纽
6,旱
6,旷
6,顽
6,诱
6,旺
6,绅
6,诵
6,诸
6,颁
6,颂
6,皱
6,颇
6,颈
6,诺
6,绎
6,诽
6,绑
6,绒
6,绘
6,颖
6,络
6,钦
6,壤
6,钩
6,盈
6,额
6,兆
6,绣
6,壮
6,监
6,壳
6,榨
6,盗
6,兑
6,钻
6,盛
6,盟
6,辨
6,党
6,兜
6,辫
6,兢
6,辰
6,辱
6,盯
6,崇
6,辽
6,盲
6,耀
6,迁
6,迄
6,迈
6,截
6,耍
6,崖
6,兼
6,兽
6,耕
6,唆
6,耗
6,唇
6,螺
6,铭
6,崩
6,橙
6,铸
6,唐
6,扁
6,崭
6,铺
6,扎
6,唠
6,扑
6,扒
6,耸
6,迸
6,耻
6,扛
6,猎
6,嵌
6,扣
6,猖
6,猛
6,聋
6,唾
6,扭
6,颠
6,扯
6,颤
6,笼
6,啃
6,渔
6,渗
6,昂
6,筋
6,昆
6,鄙
6,渠
6,筐
6,渡
6,昌
6,渣
6,筒
6,昏
6,谋
6,谍
6,筛
6,谎
6,昔
6,抑
6,港
6,抒
6,啥
6,啦
6,谐
6,抚
6,抛
6,啬
6,飙
6,渺
6,啰
6,昧
6,肆
6,啸
6,萌
6,谣
6,谤
6,筹
6,谬
6,肖
6,喇
6,喉
6,缀
6,谱
6,酌
6,昼
6,谴
6,谷
6,湖
6,晃
6,酗
6,冤
6,喘
6,缔
6,晋
6,酝
6,缚
6,缝
6,晓
6,缠
6,酬
6,央
6,晤
6,湾
6,酷
6,晨
6,凄
6,夺
6,缴
6,溃
6,酿
6,溅
6,凌
6,溉
6,晰
6,锈
6,眨
6,晶
6,凑
6,奉
6,锋
6,眯
6,晾
6,奏
6,凝
6,董
6,眶
6,溜
6,奔
6,暄
6,葫
6,葬
6,罕
6,锤
6,奠
6,奢
6,锦
6,奥
6,凶
6,凸
6,凹
6,罢
6,罩
6,锲
6,蒂
6,奴
6,抵
6,抹
6,署
6,押
6,督
6,镇
6,妄
6,睦
6,肢
6,妆
6,蒙
6,拄
6,睬
6,肪
6,拌
6,蠢
6,妒
6,睹
6,肴
6,拓
6,拔
6,拖
6,拘
6,拙
6,肿
6,拟
6,胀
6,箭
6,拢
6,拣
6,拧
6,拨
6,喻
6,胎
6,瞒
6,衅
6,镶
6,川
6,州
6,嗅
6,衍
6,巡
6,胞
6,拼
6,拽
6,巩
6,衔
6,巷
6,溪
6,嗦
6,嗨
6,溶
6,嗯
6,衰
6,衷
6,暧
6,篷
6,珠
6,滋
6,暴
6,袍
6,滔
6,娃
6,娇
6,袖
6,滞
6,滤
6,滥
6,滨
6,妥
6,蒸
6,曝
6,刊
6,饥
6,蓄
6,刑
6,饪
6,饲
6,饶
6,曲
6,姆
6,瞩
6,瞪
6,馅
6,婆
6,馈
6,瀑
6,馋
6,瞻
6,券
6,刹
6,蓬
6,翔
6,翘
6,剂
6,削
6,婪
6,剔
6,剖
6,挎
6,婴
6,欧
6,翼
6,挖
6,剥
6,挚
6,欲
6,灌
6,帆
6,副
6,挠
6,脂
6,欺
6,割
6,脉
6,挨
6,袭
6,帐
6,挪
6,挫
6,帖
6,媒
6,袱
6,帜
6,嘈
6,劈
6,挽
6,裂
6,闷
6,捆
6,灶
6,捉
6,嘛
6,捍
6,捎
6,捏
6,灿
6,歧
6,裕
6,捕
6,炉
6,捞
6,炎
6,歹
6,嘲
6,捣
6,捧
6,漆
6,殃
6,嘿
6,簸
6,裳
6,琢
6,腔
6,捷
6,幢
6,殖
6,掀
6,腥
6,腮
6,掏
6,掐
6,朗
6,腹
6,掘
6,噪
6,腻
6,腾
6,庄
6,庇
6,贤
6,贩
6,贪
6,蔑
6,贫
6,蔓
6,贬
6,贯
6,庞
6,膛
6,朽
6,膜
6,膝
6,媳
6,粉
6,贼
6,潜
6,贿
6,杆
6,赁
6,驰
6,驱
6,赂
6,驳
6,劫
6,嫂
6,嫉
6,赋
6,驻
6,赌
6,潮
6,杖
6,嫌
6,蔼
6,蔽
6,杜
6,赖
6,杠
6,砖
6,鉴
6,勃
6,赠
6,勉
6,赤
6,澄
6,澈
6,阂
6,骚
6,杰
6,勘
6,鸣
