word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
44900			перечу'вствуй	перечу'вствуйте	перечу'вствовал	перечу'вствовала	перечу'вствовало	перечу'вствовали	11453
44901	imperfective	перешибить	перешиба'й	перешиба'йте	перешиба'л	перешиба'ла	перешиба'ло	перешиба'ли	11454
44902	imperfective	перешить	перешива'й	перешива'йте	перешива'л	перешива'ла	перешива'ло	перешива'ли	11455
44904			перешто'пай	перешто'пайте	перешто'пал	перешто'пала	перешто'пало	перешто'пали	11456
44905			перешто'пывай	перешто'пывайте	перешто'пывал	перешто'пывала	перешто'пывало	перешто'пывали	11457
44906			переэкзамену'й	переэкзамену'йте	переэкзаменова'л	переэкзаменова'ла	переэкзаменова'ло	переэкзаменова'ли	11458
44928			перкути'руй	перкути'руйте	перкути'ровал	перкути'ровала	перкути'ровало	перкути'ровали	11460
44931			перлюстри'руй	перлюстри'руйте	перлюстри'ровал	перлюстри'ровала	перлюстри'ровало	перлюстри'ровали	11461
44955	imperfective		перха'й	перха'йте	перха'л	перха'ла	перха'ло	перха'ли	11462
44967			пе'рчи	пе'рчите	пе'рчил	пе'рчила	пе'рчило	пе'рчили	11464
44974			песо'чь	песо'чьте	песо'чил	песо'чила	песо'чило	песо'чили	11465
44989			петуши'сь	петуши'тесь	петуши'лся	петуши'лась	петуши'лось	петуши'лись	11466
44990	imperfective	опечалить	печа'ль	печа'льте	печа'лил	печа'лила	печа'лило	печа'лили	11467
45010			пикети'руй	пикети'руйте	пикети'ровал	пикети'ровала	пикети'ровало	пикети'ровали	11468
45013			пикиру'йся	пикиру'йтесь	пикирова'лся	пикирова'лась	пикирова'лось	пикирова'лись	11469
45055			пирше'ствуй	пирше'ствуйте	пирше'ствовал	пирше'ствовала	пирше'ствовало	пирше'ствовали	11470
45071			пиха'йся	пиха'йтесь	пиха'лся	пиха'лась	пиха'лось	пиха'лись	11471
45094			плакиру'й	плакиру'йте	плакирова'л	плакирова'ла	плакирова'ло	плакирова'ли	11474
45134			пленя'йся	пленя'йтесь	пленя'лся	пленя'лась	пленя'лось	пленя'лись	11475
45149			плиссиру'й	плиссиру'йте	плиссирова'л	плиссирова'ла	плиссирова'ло	плиссирова'ли	11477
45166			пломбиру'й	пломбиру'йте	пломбирова'л	пломбирова'ла	пломбирова'ло	пломбирова'ли	11480
45175	imperfective	оплошать	плоша'й	плоша'йте	плоша'л	плоша'ла	плоша'ло	плоша'ли	11482
45180			плуту'й	плуту'йте	плутова'л	плутова'ла	плутова'ло	плутова'ли	11483
45193			плюсу'й	плюсу'йте	плюсова'л	плюсова'ла	плюсова'ло	плюсова'ли	11485
45194			плю'хай	плю'хайте	плю'хал	плю'хала	плю'хало	плю'хали	11486
45197	imperfective	сплющить	плю'щи//плю'щь	плю'щьте	плю'щил	плю'щила	плю'щило	плю'щили	11487
45207	perfective	беспокоиться	побеспоко'йся	побеспоко'йтесь	побеспоко'ился	побеспоко'илась	побеспоко'илось	побеспоко'ились	11488
45212			побрани'	побрани'те	побрани'л	побрани'ла	побрани'ло	побрани'ли	11489
45213			побрани'сь	побрани'тесь	побрани'лся	побрани'лась	побрани'лось	побрани'лись	11490
45216	imperfective	побрякать	побря'кивай	побря'кивайте	побря'кивал	побря'кивала	побря'кивало	побря'кивали	11491
45220	perfective	валять	поваля'й	поваля'йте	поваля'л	поваля'ла	поваля'ло	поваля'ли	11493
45222			поверга'йся	поверга'йтесь	поверга'лся	поверга'лась	поверга'лось	поверга'лись	11494
45224			повесели'	повесели'те	повесели'л	повесели'ла	повесели'ло	повесели'ли	11495
45231	perfective	поворачивать	повороти'	повороти'те	повороти'л	повороти'ла	повороти'ло	повороти'ли	11496
45232			повороти'сь	повороти'тесь	повороти'лся	повороти'лась	повороти'лось	повороти'лись	11497
45235	imperfective	повредить	поврежда'й	поврежда'йте	поврежда'л	поврежда'ла	поврежда'ло	поврежда'ли	11498
45236			поврежда'йся	поврежда'йтесь	поврежда'лся	поврежда'лась	поврежда'лось	поврежда'лись	11499
45239			повскачи'	повскачи'те	повскака'л	повскака'ла	повскака'ло	повскака'ли	11501
45244			повя'нь	повя'ньте	повя'л	повя'ла	повя'ло	повя'ли	11503
45245			пога'нь	пога'ньте	пога'нил	пога'нила	пога'нило	пога'нили	11504
45247	imperfective	погаснуть	погаса'й	погаса'йте	погаса'л	погаса'ла	погаса'ло	погаса'ли	11505
45248			погаша'й	погаша'йте	погаша'л	погаша'ла	погаша'ло	погаша'ли	11506
45255			по'гний	по'гнийте	погни'л	погнила'	погни'ло	погни'ли	11507
45259	imperfective	погрести	погреба'й	погреба'йте	погреба'л	погреба'ла	погреба'ло	погреба'ли	11508
45262			погреша'й	погреша'йте	погреша'л	погреша'ла	погреша'ло	погреша'ли	11509
45263			погроми'	погроми'те	погроми'л	погроми'ла	погроми'ло	погроми'ли	11510
45267	imperfective	погрязнуть	погряза'й	погряза'йте	погряза'л	погряза'ла	погряза'ло	погряза'ли	11511
45269	imperfective	-	погу'ливай	погу'ливайте	погу'ливал	погу'ливала	погу'ливало	погу'ливали	11512
45280			подбавля'й	подбавля'йте	подбавля'л	подбавля'ла	подбавля'ло	подбавля'ли	11513
45281			подба'лтывай	подба'лтывайте	подба'лтывал	подба'лтывала	подба'лтывало	подба'лтывали	11515
45282	imperfective	подбодрить	подбодря'й	подбодря'йте	подбодря'л	подбодря'ла	подбодря'ло	подбодря'ли	11516
45284			подбрива'й	подбрива'йте	подбрива'л	подбрива'ла	подбрива'ло	подбрива'ли	11517
45285	imperfective	подвалить	подва'ливай	подва'ливайте	подва'ливал	подва'ливала	подва'ливало	подва'ливали	11518
45286			подва'ривай	подва'ривайте	подва'ривал	подва'ривала	подва'ривало	подва'ривали	11519
45289									13961
45292			подвива'й	подвива'йте	подвива'л	подвива'ла	подвива'ло	подвива'ли	11520
45296	imperfective	подвинтить	подви'нчивай	подви'нчивайте	подви'нчивал	подви'нчивала	подви'нчивало	подви'нчивали	11521
45297			подвира'й	подвира'йте	подвира'л	подвира'ла	подвира'ло	подвира'ли	11523
45303			подвя'зывайся	подвя'зывайтесь	подвя'зывался	подвя'зывалась	подвя'зывалось	подвя'зывались	11524
45304			подга'дь	подга'дьте	подга'дил	подга'дила	подга'дило	подга'дили	11525
45305	imperfective	подогнуть	подгиба'й	подгиба'йте	подгиба'л	подгиба'ла	подгиба'ло	подгиба'ли	11526
45306	imperfective	подгнить	подгнива'й	подгнива'йте	подгнива'л	подгнива'ла	подгнива'ло	подгнива'ли	11527
45307	imperfective	подговорить	подгова'ривай	подгова'ривайте	подгова'ривал	подгова'ривала	подгова'ривало	подгова'ривали	10479
45313	imperfective	подготовиться	подгота'вливайся	подгота'вливайтесь	подгота'вливался	подгота'вливалась	подгота'вливалось	подгота'вливались	11528
45315			подгуля'й	подгуля'йте	подгуля'л	подгуля'ла	подгуля'ло	подгуля'ли	11529
45318	imperfective	поддеть	поддева'й	поддева'йте	поддева'л	поддева'ла	поддева'ло	поддева'ли	11530
45322	imperfective	подделать	подде'лывай	подде'лывайте	подде'лывал	подде'лывала	подде'лывало	подде'лывали	11531
45323			подде'лывайся	подде'лывайтесь	подде'лывался	подде'лывалась	подде'лывалось	подде'лывались	11532
45324	imperfective	поддёрнуть							14012
