word_id	gender	partner	animate	indeclinable	sg_only	pl_only	decl_sg_id	decl_pl_id
2463	m		0	0	0	0	5178	5179
2465	n		0	0	0	0	15706	15707
2467	f		1	0	0	0	18823	18824
2469	f		0	0	0	0	18237	18238
2471	n		0	0	0	0	24419	24420
2472	m		0	0	0	0	7475	7476
2474	f		0	0	0	0	5291	5292
2475	m		1	0	0	0	4516	4517
2476	f		0	0	0	0	21856	21857
2478	f		0	0	0	0	23357	23358
2483	f		0	0	0	0	14223	14224
2484	m		0	0	0	0	7411	7412
2485	m		0	0	0	0	22788	22789
2486	n		0	0	0	0	3186	3187
2489			0	0	0	0	24926	24927
2494	n		0	0	0	0	13740	13741
2495	m		0	0	0	0	1624	1625
2496	n		0	0	0	0	1906	1907
2500	m		1	0	0	0	20917	20918
2502	f		0	0	0	0	2770	2771
2503	m		0	0	0	0	13668	13669
2504	n		0	0	0	0	6869	6870
2508	f		0	0	0	0	13792	13793
2514	m		0	0	0	0	4472	4473
2515	m		0	0	0	0	2317	2318
2516			0	0	0	0	24928	24929
2518	m		1	0	0	0	9108	9109
2519	n		0	0	0	0	5176	5177
2521	m		0	0	0	0	21016	21017
2523	m		1	0	0	0	24930	24931
2524	f		0	0	0	0	4177	4178
2526	n		0	0	0	0	15450	15451
2528	m		0	0	0	0	20665	20666
2531	m		0	0	0	0	24502	24503
2538	f		0	0	0	0	23857	23858
2540	n		0	0	0	0	6110	6111
2542							83703	83704
2543	m		0	0	0	0	8175	8176
2546	f		0	0	0	0	8218	8219
2548	m		0	0	0	0	11865	11866
2550	n		0	0	0	0	11455	11456
2552	m		0	0	0	0	20368	20369
2553	m		0	0	0	0	15838	15839
2554	n		0	0	0	0	22479	22480
2557	m		1	0	0	0	18445	18446
2558	m		0	0	0	0	16250	16251
2563	f		0	0	0	0	7729	7730
2564	m	государыня	1	0	0	0	4305	4306
2568	n		0	0	0	0	17253	17254
2569	m		1	0	0	0	6655	6656
2572	f		0	0	0	0	6970	6971
2573	f		1	0	0	0	4694	4695
2574	n		0	0	0	0	4564	4565
2575	m		0	0	0	0	14150	14151
2576	f		0	0	0	0	10708	10709
2578	m		0	0	0	0	20075	20076
2581	n		0	0	0	0	16404	16405
2583	f		0	0	0	0	9560	9561
2584	m		0	0	0	0	5770	5771
2586	m	супруга	1	0	0	0	20783	20784
2587	f		0	0	0	0	15816	15817
2588	m		0	0	0	0	3722	3723
2590	m		0	0	0	0	5174	5175
2591	m		0	0	1	0	20028	81766
2592	f		0	0	0	0	18695	18696
2598	f		0	0	0	0	19865	19866
2601	m		0	0	0	0	18374	18375
2602	f		0	0	0	0	11141	11142
2607	m		0	0	0	0	23948	23949
2613	m		0	0	0	0	2004	2005
2618	m		0	0	0	0	19254	19255
2619	m		0	0	0	0	5995	5996
2620	n		0	0	0	0	19137	19138
2621	f		0	0	0	0	2598	2599
2622	n		0	0	0	0	15532	15533
2626	m		1	0	0	0	13784	13785
2629	f		0	0	0	0	17239	17240
2631	f		0	0	0	0	18115	18116
2633	n		0	0	0	0	2060	2061
2635	f		0	0	0	0	20587	20588
2638	f		0	0	0	0	344	345
2640	f		0	0	0	0	16815	16816
2642	f		0	0	1	0	15778	
2643	m		1	0	0	0	6720	6721
2649	m		0	0	0	0	5275	5276
2654	f		0	0	0	0	16682	16683
